"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 01 20:20:07 CST 2021","Mon Nov 01 20:20:22 CST 2021","15011","testcases","test02_change_user_address","TestAddress","","","测试数据",""
"passed","Mon Nov 01 20:19:40 CST 2021","Mon Nov 01 20:19:44 CST 2021","3295","testcases","test01_login","TestLogin","","","测试数据",""
"passed","Mon Nov 01 20:19:58 CST 2021","Mon Nov 01 20:20:01 CST 2021","3020","testcases","test01_login","TestLogin","","","测试数据",""
"passed","Mon Nov 01 20:19:49 CST 2021","Mon Nov 01 20:19:53 CST 2021","3274","testcases","test01_login","TestLogin","","","测试数据",""
